Item Level	Armor Multiplier	Weapon Multiplier	Trinket Multiplier	Jewelry Multiplier
829	0.850592979	0.850592979	0.850592979	0.910022337
830	0.845859843	0.845859843	0.845859843	0.907068435
831	0.841153044	0.841153044	0.841153044	0.904124121
832	0.836472436	0.836472436	0.836472436	0.901189365
833	0.831817874	0.831817874	0.831817874	0.898264134
834	0.827189212	0.827189212	0.827189212	0.895348399
835	0.822586306	0.822586306	0.822586306	0.892442128
836	0.818009013	0.818009013	0.818009013	0.889545291
837	0.813457191	0.813457191	0.813457191	0.886657857
838	0.808930697	0.808930697	0.808930697	0.883779795
839	0.804429391	0.804429391	0.804429391	0.880911076
840	0.799953132	0.799953132	0.799953132	0.878051668
841	0.795501782	0.795501782	0.795501782	0.875201542
842	0.791075201	0.791075201	0.791075201	0.872360667
843	0.786673252	0.786673252	0.786673252	0.869529013
844	0.782295798	0.782295798	0.782295798	0.866706551
845	0.777942702	0.777942702	0.777942702	0.863893251
846	0.773613829	0.773613829	0.773613829	0.861089083
847	0.769309044	0.769309044	0.769309044	0.858294016
848	0.765028214	0.765028214	0.765028214	0.855508023
849	0.760771204	0.760771204	0.760771204	0.852731072
850	0.756537882	0.756537882	0.756537882	0.849963136
851	0.752328116	0.752328116	0.752328116	0.847204184
852	0.748141776	0.748141776	0.748141776	0.844454188
853	0.743978731	0.743978731	0.743978731	0.841713118
854	0.739838851	0.739838851	0.739838851	0.838980945
855	0.735722007	0.735722007	0.735722007	0.836257641
856	0.731628072	0.731628072	0.731628072	0.833543177
857	0.727556917	0.727556917	0.727556917	0.830837524
858	0.723508417	0.723508417	0.723508417	0.828140653
859	0.719482444	0.719482444	0.719482444	0.825452537
860	0.715478874	0.715478874	0.715478874	0.822773145
861	0.711497582	0.711497582	0.711497582	0.820102451
862	0.707538444	0.707538444	0.707538444	0.817440426
863	0.703601336	0.703601336	0.703601336	0.814787042
864	0.699686137	0.699686137	0.699686137	0.812142271
865	0.695792724	0.695792724	0.695792724	0.809506084
866	0.691920975	0.691920975	0.691920975	0.806878455
867	0.688070772	0.688070772	0.688070772	0.804259354
868	0.684241992	0.684241992	0.684241992	0.801648755
869	0.680434518	0.680434518	0.680434518	0.799046631
870	0.676648231	0.676648231	0.676648231	0.796452952
871	0.672883012	0.672883012	0.672883012	0.793867692
872	0.669138746	0.669138746	0.669138746	0.791290825
873	0.665415314	0.665415314	0.665415314	0.788722321
874	0.661712601	0.661712601	0.661712601	0.786162155
875	0.658030492	0.658030492	0.658030492	0.783610299
876	0.654368872	0.654368872	0.654368872	0.781066726
877	0.650727628	0.650727628	0.650727628	0.77853141
878	0.647106645	0.647106645	0.647106645	0.776004323
879	0.643505811	0.643505811	0.643505811	0.773485439
880	0.639925014	0.639925014	0.639925014	0.770974731
881	0.636364142	0.636364142	0.636364142	0.768472173
882	0.632823085	0.632823085	0.632823085	0.765977738
883	0.629301732	0.629301732	0.629301732	0.7634914
884	0.625799974	0.625799974	0.625799974	0.761013133
885	0.622317701	0.622317701	0.622317701	0.75854291
886	0.618854806	0.618854806	0.618854806	0.756080705
887	0.61541118	0.61541118	0.61541118	0.753626493
888	0.611986716	0.611986716	0.611986716	0.751180246
889	0.608581307	0.608581307	0.608581307	0.74874194
890	0.605194848	0.605194848	0.605194848	0.746311549
891	0.601827233	0.601827233	0.601827233	0.743889047
892	0.598478357	0.598478357	0.598478357	0.741474408
893	0.595148116	0.595148116	0.595148116	0.739067607
894	0.591836406	0.591836406	0.591836406	0.736668618
895	0.588543124	0.588543124	0.588543124	0.734277417
896	0.585268168	0.585268168	0.585268168	0.731893977
897	0.582011435	0.582011435	0.582011435	0.729518274
898	0.578772824	0.578772824	0.578772824	0.727150282
899	0.575552235	0.575552235	0.575552235	0.724789976
900	0.572349566	0.572349566	0.572349566	0.722437333
901	0.569164719	0.569164719	0.569164719	0.720092325
902	0.565997594	0.565997594	0.565997594	0.71775493
903	0.562848093	0.562848093	0.562848093	0.715425121
904	0.559716117	0.559716117	0.559716117	0.713102875
905	0.556601569	0.556601569	0.556601569	0.710788167
906	0.553504352	0.553504352	0.553504352	0.708480973
907	0.550424369	0.550424369	0.550424369	0.706181267
908	0.547361525	0.547361525	0.547361525	0.703889027
909	0.544315724	0.544315724	0.544315724	0.701604227
910	0.541286872	0.541286872	0.541286872	0.699326843
911	0.538274873	0.538274873	0.538274873	0.697056851
912	0.535279635	0.535279635	0.535279635	0.694794228
913	0.532301064	0.532301064	0.532301064	0.69253895
914	0.529339068	0.529339068	0.529339068	0.690290991
915	0.526393553	0.526393553	0.526393553	0.68805033
916	0.523464429	0.523464429	0.523464429	0.685816942
917	0.520551604	0.520551604	0.520551604	0.683590803
918	0.517654987	0.517654987	0.517654987	0.68137189
919	0.514774489	0.514774489	0.514774489	0.67916018
920	0.511910019	0.511910019	0.511910019	0.676955649
921	0.509061489	0.509061489	0.509061489	0.674758273
922	0.506228809	0.506228809	0.506228809	0.672568031
923	0.503411892	0.503411892	0.503411892	0.670384898
924	0.500610649	0.500610649	0.500610649	0.668208851
925	0.497824994	0.497824994	0.497824994	0.666039867
926	0.49505484	0.49505484	0.49505484	0.663877924
927	0.492300101	0.492300101	0.492300101	0.661722999
928	0.48956069	0.48956069	0.48956069	0.659575068
929	0.486836523	0.486836523	0.486836523	0.65743411
930	0.484127514	0.484127514	0.484127514	0.6553001
931	0.48143358	0.48143358	0.48143358	0.653173018
932	0.478754636	0.478754636	0.478754636	0.651052841
933	0.476090599	0.476090599	0.476090599	0.648939545
934	0.473441387	0.473441387	0.473441387	0.646833109
935	0.470806916	0.470806916	0.470806916	0.644733511
936	0.468187104	0.468187104	0.468187104	0.642640727
937	0.46558187	0.46558187	0.46558187	0.640554737
938	0.462991133	0.462991133	0.462991133	0.638475518
939	0.460414813	0.460414813	0.460414813	0.636403048
940	0.457852828	0.457852828	0.457852828	0.634337305
941	0.4553051	0.4553051	0.4553051	0.632278267
942	0.452771548	0.452771548	0.452771548	0.630225913
943	0.450252095	0.450252095	0.450252095	0.628180221
944	0.447746661	0.447746661	0.447746661	0.626141169
945	0.445255168	0.445255168	0.445255168	0.624108736
946	0.44277754	0.44277754	0.44277754	0.6220829
947	0.440313698	0.440313698	0.440313698	0.62006364
948	0.437863566	0.437863566	0.437863566	0.618050934
949	0.435427068	0.435427068	0.435427068	0.616044761
950	0.433004128	0.433004128	0.433004128	0.614045101
951	0.430594671	0.430594671	0.430594671	0.612051931
952	0.428198621	0.428198621	0.428198621	0.610065231
953	0.425815904	0.425815904	0.425815904	0.60808498
954	0.423446445	0.423446445	0.423446445	0.606111156
955	0.421090172	0.421090172	0.421090172	0.60414374
956	0.41874701	0.41874701	0.41874701	0.60218271
957	0.416416886	0.416416886	0.416416886	0.600228045
958	0.414099729	0.414099729	0.414099729	0.598279725
959	0.411795465	0.411795465	0.411795465	0.596337729
960	0.409504023	0.409504023	0.409504023	0.594402036
961	0.407225332	0.407225332	0.407225332	0.592472627
962	0.404959321	0.404959321	0.404959321	0.590549481
963	0.40270592	0.40270592	0.40270592	0.588632577
964	0.400465057	0.400465057	0.400465057	0.586721896
965	0.398236664	0.398236664	0.398236664	0.584817416
966	0.39602067	0.39602067	0.39602067	0.582919119
967	0.393817008	0.393817008	0.393817008	0.581026983
968	0.391625607	0.391625607	0.391625607	0.579140989
969	0.389446401	0.389446401	0.389446401	0.577261116
970	0.387279321	0.387279321	0.387279321	0.575387346
971	0.3851243	0.3851243	0.3851243	0.573519658
972	0.382981271	0.382981271	0.382981271	0.571658033
973	0.380850166	0.380850166	0.380850166	0.56980245
974	0.37873092	0.37873092	0.37873092	0.56795289
975	0.376623467	0.376623467	0.376623467	0.566109334
976	0.37452774	0.37452774	0.37452774	0.564271762
977	0.372443675	0.372443675	0.372443675	0.562440155
978	0.370371207	0.370371207	0.370371207	0.560614493
979	0.368310272	0.368310272	0.368310272	0.558794757
980	0.366260804	0.366260804	0.366260804	0.556980928
981	0.364222741	0.364222741	0.364222741	0.555172987
982	0.362196018	0.362196018	0.362196018	0.553370914
983	0.360180574	0.360180574	0.360180574	0.551574691
984	0.358176344	0.358176344	0.358176344	0.549784298
985	0.356183267	0.356183267	0.356183267	0.547999716
986	0.35420128	0.35420128	0.35420128	0.546220928
987	0.352230322	0.352230322	0.352230322	0.544447913
988	0.350270331	0.350270331	0.350270331	0.542680653
989	0.348321247	0.348321247	0.348321247	0.54091913
990	0.346383009	0.346383009	0.346383009	0.539163325
991	0.344455556	0.344455556	0.344455556	0.537413219
992	0.342538828	0.342538828	0.342538828	0.535668794
993	0.340632766	0.340632766	0.340632766	0.533930031
994	0.33873731	0.33873731	0.33873731	0.532196912
995	0.336852402	0.336852402	0.336852402	0.530469418
996	0.334977982	0.334977982	0.334977982	0.528747532
997	0.333113992	0.333113992	0.333113992	0.527031236
998	0.331260375	0.331260375	0.331260375	0.52532051
999	0.329417072	0.329417072	0.329417072	0.523615337
1000	0.327584026	0.327584026	0.327584026	0.521915699
1001	0.32576118	0.32576118	0.32576118	0.520221579
1002	0.323948478	0.323948478	0.323948478	0.518532957
1003	0.322145862	0.322145862	0.322145862	0.516849816
1004	0.320353277	0.320353277	0.320353277	0.515172139
1005	0.318570666	0.318570666	0.318570666	0.513499908
1006	0.316797976	0.316797976	0.316797976	0.511833104
1007	0.315035149	0.315035149	0.315035149	0.510171711
1008	0.313282131	0.313282131	0.313282131	0.508515711
1009	0.311538869	0.311538869	0.311538869	0.506865086
1010	0.309805306	0.309805306	0.309805306	0.505219819
1011	0.30808139	0.30808139	0.30808139	0.503579892
1012	0.306367067	0.306367067	0.306367067	0.501945289
1013	0.304662283	0.304662283	0.304662283	0.500315991
1014	0.302966986	0.302966986	0.302966986	0.498691983
1015	0.301281122	0.301281122	0.301281122	0.497073245
1016	0.299604639	0.299604639	0.299604639	0.495459762
1017	0.297937485	0.297937485	0.297937485	0.493851516
1018	0.296279607	0.296279607	0.296279607	0.492248491
1019	0.294630955	0.294630955	0.294630955	0.490650669
1020	0.292991477	0.292991477	0.292991477	0.489058033
1021	0.291361122	0.291361122	0.291361122	0.487470567
1022	0.289739839	0.289739839	0.289739839	0.485888254
1023	0.288127578	0.288127578	0.288127578	0.484311077
1024	0.286524288	0.286524288	0.286524288	0.48273902
1025	0.28492992	0.28492992	0.28492992	0.481172065
1026	0.283344423	0.283344423	0.283344423	0.479610197
