Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter
97	109325.7391	1	1	87460.5913	109325.7391	1	1	1	109325.7391	1	1	1
98	130624	1	1	104499	130624	1	1	1	130624	1	1	1
99	156748.8	1	1	125399.04	156748.8	1	1	1	156748.8	1	1	1
100	188098.56	1	1	150478.848	188098.56	1	1	1	188098.56	1	1	1
101	194587.9603	1	1	155670.3683	194587.9603	1	1	1	194587.9603	1	1	1
102	201301.245	1	1	161040.996	201301.245	1	1	1	201301.245	1	1	1
103	208246.1379	1	1	166596.9103	208246.1379	1	1	1	208246.1379	1	1	1
104	582866	1	1	466293	582866	1	1	1	569913	1	1	1
105	611763	1	1	489410	611763	1	1	1	611763	1	1	1
106	627057	1	1	501646	627057	1	1	1	627057	1	1	1
107	642733	1	1	514186	642733	1	1	1	642733	1	1	1
108	658801	1	1	527041	658801	1	1	1	658801	1	1	1
109	675271	1	1	540217	675271	1	1	1	675271	1	1	1
110	1039267.25	1	1	831414	1039267.25	1	1	1	1039267.25	1	1	1
111	1075123.209	1	1	860099	1075123.209	1	1	1	1075123.209	1	1	1
112	1112213.744	1	1	889771	1112213.744	1	1	1	1112213.744	1	1	1
113	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
114	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
115	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
116	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
117	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
118	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
119	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
120	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
121	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
122	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
123	1150587.269	1	1	920470	1150587.269	1	1	1	1150587.269	1	1	1
