Level	weapon skill	defense skill	dodge	parry	block	hit melee	hit ranged	hit spell	crit melee	crit ranged	crit spell	hit taken melee	hit taken ranged	hit taken spell	crit taken melee	crit taken ranged	crit taken spell	haste melee	haste ranged	haste spell	obsolete	obsolete	obsolete	expertise	mastery	pvppower	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
13	0.000000	0.144231	1.990384	1.990384	0.663461	0.769231	0.769231	0.769231	1.346154	1.346154	1.346154	0.000000	0.000000	0.000000	0.000000	0.893417	0.000000	0.961538	0.961538	0.961538	0.000000	0.000000	0.000000	0.769231	0.000000	1.346154	1.155903	0.000000	0.000000	0.000000	0.000000	0.000000
14	0.000000	0.173077	2.388461	2.388461	0.796154	0.923077	0.923077	0.923077	1.615385	1.615385	1.615385	0.000000	0.000000	0.000000	0.000000	1.072101	0.000000	1.153846	1.153846	1.153846	0.000000	0.000000	0.000000	0.923077	0.000000	1.615385	1.387085	0.000000	0.000000	0.000000	0.000000	0.000000
15	0.000000	0.201923	2.786539	2.786539	0.928846	1.076923	1.076923	1.076923	1.884615	1.884615	1.884615	0.000000	0.000000	0.000000	0.000000	1.250785	0.000000	1.346154	1.346154	1.346154	0.000000	0.000000	0.000000	1.076923	0.000000	1.884615	1.618266	0.000000	0.000000	0.000000	0.000000	0.000000
16	0.000000	0.230769	3.184617	3.184617	1.061539	1.230769	1.230769	1.230769	2.153846	2.153846	2.153846	0.000000	0.000000	0.000000	0.000000	1.429468	0.000000	1.538462	1.538462	1.538462	0.000000	0.000000	0.000000	1.230769	0.000000	2.153846	1.849447	0.000000	0.000000	0.000000	0.000000	0.000000
17	0.000000	0.259615	3.582692	3.582692	1.194231	1.384615	1.384615	1.384615	2.423077	2.423077	2.423077	0.000000	0.000000	0.000000	0.000000	1.608151	0.000000	1.730769	1.730769	1.730769	0.000000	0.000000	0.000000	1.384615	0.000000	2.423077	2.080627	0.000000	0.000000	0.000000	0.000000	0.000000
18	0.000000	0.288462	3.980770	3.980770	1.326923	1.538462	1.538462	1.538462	2.692308	2.692308	2.692308	0.000000	0.000000	0.000000	0.000000	1.786835	0.000000	1.923077	1.923077	1.923077	0.000000	0.000000	0.000000	1.538462	0.000000	2.692308	2.311808	0.000000	0.000000	0.000000	0.000000	0.000000
19	0.000000	0.317308	4.378848	4.378848	1.459616	1.692308	1.692308	1.692308	2.961538	2.961538	2.961538	0.000000	0.000000	0.000000	0.000000	1.965519	0.000000	2.115385	2.115385	2.115385	0.000000	0.000000	0.000000	1.692308	0.000000	2.961538	2.542989	0.000000	0.000000	0.000000	0.000000	0.000000
20	0.000000	0.346154	4.776923	4.776923	1.592308	1.846154	1.846154	1.846154	3.230769	3.230769	3.230769	0.000000	0.000000	0.000000	0.000000	2.144201	0.000000	2.307692	2.307692	2.307692	0.000000	0.000000	0.000000	1.846154	0.000000	3.230769	2.774169	0.000000	0.000000	0.000000	0.000000	0.000000
21	0.000000	0.375000	5.175000	5.175000	1.725000	2.000000	2.000000	2.000000	3.500000	3.500000	3.500000	0.000000	0.000000	0.000000	0.000000	2.322885	0.000000	2.500000	2.500000	2.500000	0.000000	0.000000	0.000000	2.000000	0.000000	3.500000	3.005350	0.000000	0.000000	0.000000	0.000000	0.000000
22	0.000000	0.403846	5.573078	5.573078	1.857692	2.153846	2.153846	2.153846	3.769231	3.769231	3.769231	0.000000	0.000000	0.000000	0.000000	2.501569	0.000000	2.692308	2.692308	2.692308	0.000000	0.000000	0.000000	2.153846	0.000000	3.769231	3.236531	0.000000	0.000000	0.000000	0.000000	0.000000
23	0.000000	0.432692	5.971153	5.971153	1.990385	2.307692	2.307692	2.307692	4.038462	4.038462	4.038462	0.000000	0.000000	0.000000	0.000000	2.680252	0.000000	2.884615	2.884615	2.884615	0.000000	0.000000	0.000000	2.307692	0.000000	4.038462	3.467711	0.000000	0.000000	0.000000	0.000000	0.000000
24	0.000000	0.461538	6.369231	6.369231	2.123077	2.461539	2.461539	2.461539	4.307692	4.307692	4.307692	0.000000	0.000000	0.000000	0.000000	2.858935	0.000000	3.076923	3.076923	3.076923	0.000000	0.000000	0.000000	2.461539	0.000000	4.307692	3.698892	0.000000	0.000000	0.000000	0.000000	0.000000
25	0.000000	0.490385	6.767309	6.767309	2.255769	2.615385	2.615385	2.615385	4.576923	4.576923	4.576923	0.000000	0.000000	0.000000	0.000000	3.037619	0.000000	3.269231	3.269231	3.269231	0.000000	0.000000	0.000000	2.615385	0.000000	4.576923	3.930074	0.000000	0.000000	0.000000	0.000000	0.000000
26	0.000000	0.519231	7.165383	7.165383	2.388461	2.769231	2.769231	2.769231	4.846154	4.846154	4.846154	0.000000	0.000000	0.000000	0.000000	3.216302	0.000000	3.461538	3.461538	3.461538	0.000000	0.000000	0.000000	2.769231	0.000000	4.846154	4.161253	0.000000	0.000000	0.000000	0.000000	0.000000
27	0.000000	0.548077	7.563462	7.563462	2.521154	2.923077	2.923077	2.923077	5.115385	5.115385	5.115385	0.000000	0.000000	0.000000	0.000000	3.394986	0.000000	3.653846	3.653846	3.653846	0.000000	0.000000	0.000000	2.923077	0.000000	5.115385	4.392434	0.000000	0.000000	0.000000	0.000000	0.000000
28	0.000000	0.576923	7.961539	7.961539	2.653846	3.076923	3.076923	3.076923	5.384615	5.384615	5.384615	0.000000	0.000000	0.000000	0.000000	3.573670	0.000000	3.846154	3.846154	3.846154	0.000000	0.000000	0.000000	3.076923	0.000000	5.384615	4.623616	0.000000	0.000000	0.000000	0.000000	0.000000
29	0.000000	0.605769	8.359617	8.359617	2.786539	3.230769	3.230769	3.230769	5.653846	5.653846	5.653846	0.000000	0.000000	0.000000	0.000000	3.752353	0.000000	4.038462	4.038462	4.038462	0.000000	0.000000	0.000000	3.230769	0.000000	5.653846	4.854797	0.000000	0.000000	0.000000	0.000000	0.000000
30	0.000000	0.634615	8.757692	8.757692	2.919230	3.384615	3.384615	3.384615	5.923077	5.923077	5.923077	0.000000	0.000000	0.000000	0.000000	3.931036	0.000000	4.230769	4.230769	4.230769	0.000000	0.000000	0.000000	3.384615	0.000000	5.923077	5.085977	0.000000	0.000000	0.000000	0.000000	0.000000
31	0.000000	0.663462	9.155768	9.155768	3.051923	3.538462	3.538462	3.538462	6.192307	6.192307	6.192307	0.000000	0.000000	0.000000	0.000000	4.109720	0.000000	4.423077	4.423077	4.423077	0.000000	0.000000	0.000000	3.538462	0.000000	6.192307	5.317157	0.000000	0.000000	0.000000	0.000000	0.000000
32	0.000000	0.692308	9.553846	9.553846	3.184615	3.692308	3.692308	3.692308	6.461538	6.461538	6.461538	0.000000	0.000000	0.000000	0.000000	4.288404	0.000000	4.615385	4.615385	4.615385	0.000000	0.000000	0.000000	3.692308	0.000000	6.461538	5.548339	0.000000	0.000000	0.000000	0.000000	0.000000
33	0.000000	0.721154	9.951925	9.951925	3.317308	3.846154	3.846154	3.846154	6.730769	6.730769	6.730769	0.000000	0.000000	0.000000	0.000000	4.467088	0.000000	4.807693	4.807693	4.807693	0.000000	0.000000	0.000000	3.846154	0.000000	6.730769	5.779521	0.000000	0.000000	0.000000	0.000000	0.000000
34	0.000000	0.750000	10.350001	10.350001	3.450000	4.000000	4.000000	4.000000	7.000000	7.000000	7.000000	0.000000	0.000000	0.000000	0.000000	4.645770	0.000000	5.000000	5.000000	5.000000	0.000000	0.000000	0.000000	4.000000	0.000000	7.000000	6.010700	0.000000	0.000000	0.000000	0.000000	0.000000
35	0.000000	0.778846	10.748077	10.748077	3.582692	4.153846	4.153846	4.153846	7.269231	7.269231	7.269231	0.000000	0.000000	0.000000	0.000000	4.824453	0.000000	5.192308	5.192308	5.192308	0.000000	0.000000	0.000000	4.153846	0.000000	7.269231	6.241880	0.000000	0.000000	0.000000	0.000000	0.000000
36	0.000000	0.807692	11.146153	11.146153	3.715384	4.307692	4.307692	4.307692	7.538462	7.538462	7.538462	0.000000	0.000000	0.000000	0.000000	5.003137	0.000000	5.384615	5.384615	5.384615	0.000000	0.000000	0.000000	4.307692	0.000000	7.538462	6.473062	0.000000	0.000000	0.000000	0.000000	0.000000
37	0.000000	0.836538	11.544231	11.544231	3.848077	4.461538	4.461538	4.461538	7.807693	7.807693	7.807693	0.000000	0.000000	0.000000	0.000000	5.181820	0.000000	5.576923	5.576923	5.576923	0.000000	0.000000	0.000000	4.461538	0.000000	7.807693	6.704242	0.000000	0.000000	0.000000	0.000000	0.000000
38	0.000000	0.865385	11.942307	11.942307	3.980769	4.615385	4.615385	4.615385	8.076923	8.076923	8.076923	0.000000	0.000000	0.000000	0.000000	5.360504	0.000000	5.769231	5.769231	5.769231	0.000000	0.000000	0.000000	4.615385	0.000000	8.076923	6.935423	0.000000	0.000000	0.000000	0.000000	0.000000
39	0.000000	0.894231	12.340384	12.340384	4.113461	4.769231	4.769231	4.769231	8.346154	8.346154	8.346154	0.000000	0.000000	0.000000	0.000000	5.539188	0.000000	5.961538	5.961538	5.961538	0.000000	0.000000	0.000000	4.769231	0.000000	8.346154	7.166604	0.000000	0.000000	0.000000	0.000000	0.000000
40	0.000000	0.923077	12.738462	12.738462	4.246154	4.923077	4.923077	4.923077	8.615384	8.615384	8.615384	0.000000	0.000000	0.000000	0.000000	5.717871	0.000000	6.153846	6.153846	6.153846	0.000000	0.000000	0.000000	4.923077	0.000000	8.615384	7.397785	0.000000	0.000000	0.000000	0.000000	0.000000
41	0.000000	0.951923	13.136538	13.136538	4.378846	5.076923	5.076923	5.076923	8.884615	8.884615	8.884615	0.000000	0.000000	0.000000	0.000000	5.896554	0.000000	6.346154	6.346154	6.346154	0.000000	0.000000	0.000000	5.076923	0.000000	8.884615	7.628965	0.000000	0.000000	0.000000	0.000000	0.000000
42	0.000000	0.980769	13.534616	13.534616	4.511539	5.230769	5.230769	5.230769	9.153846	9.153846	9.153846	0.000000	0.000000	0.000000	0.000000	6.075237	0.000000	6.538462	6.538462	6.538462	0.000000	0.000000	0.000000	5.230769	0.000000	9.153846	7.860146	0.000000	0.000000	0.000000	0.000000	0.000000
43	0.000000	1.009615	13.932693	13.932693	4.644231	5.384615	5.384615	5.384615	9.423077	9.423077	9.423077	0.000000	0.000000	0.000000	0.000000	6.253921	0.000000	6.730769	6.730769	6.730769	0.000000	0.000000	0.000000	5.384615	0.000000	9.423077	8.091327	0.000000	0.000000	0.000000	0.000000	0.000000
44	0.000000	1.038462	14.330769	14.330769	4.776923	5.538462	5.538462	5.538462	9.692308	9.692308	9.692308	0.000000	0.000000	0.000000	0.000000	6.432605	0.000000	6.923077	6.923077	6.923077	0.000000	0.000000	0.000000	5.538462	0.000000	9.692308	8.322508	0.000000	0.000000	0.000000	0.000000	0.000000
45	0.000000	1.067308	14.728847	14.728847	4.909616	5.692307	5.692307	5.692307	9.961538	9.961538	9.961538	0.000000	0.000000	0.000000	0.000000	6.611288	0.000000	7.115385	7.115385	7.115385	0.000000	0.000000	0.000000	5.692307	0.000000	9.961538	8.553689	0.000000	0.000000	0.000000	0.000000	0.000000
46	0.000000	1.096154	15.126925	15.126925	5.042308	5.846154	5.846154	5.846154	10.230770	10.230770	10.230770	0.000000	0.000000	0.000000	0.000000	6.789972	0.000000	7.307693	7.307693	7.307693	0.000000	0.000000	0.000000	5.846154	0.000000	10.230770	8.784869	0.000000	0.000000	0.000000	0.000000	0.000000
47	0.000000	1.125000	15.525000	15.525000	5.175000	6.000000	6.000000	6.000000	10.500000	10.500000	10.500000	0.000000	0.000000	0.000000	0.000000	6.968656	0.000000	7.500000	7.500000	7.500000	0.000000	0.000000	0.000000	6.000000	0.000000	10.500000	9.016050	0.000000	0.000000	0.000000	0.000000	0.000000
48	0.000000	1.153846	15.923078	15.923078	5.307693	6.153846	6.153846	6.153846	10.769232	10.769232	10.769232	0.000000	0.000000	0.000000	0.000000	7.147339	0.000000	7.692307	7.692307	7.692307	0.000000	0.000000	0.000000	6.153846	0.000000	10.769232	9.247231	0.000000	0.000000	0.000000	0.000000	0.000000
49	0.000000	1.182692	16.321156	16.321156	5.440384	6.307693	6.307693	6.307693	11.038462	11.038462	11.038462	0.000000	0.000000	0.000000	0.000000	7.326023	0.000000	7.884615	7.884615	7.884615	0.000000	0.000000	0.000000	6.307693	0.000000	11.038462	9.478413	0.000000	0.000000	0.000000	0.000000	0.000000
50	0.000000	1.211538	16.719231	16.719231	5.573077	6.461538	6.461538	6.461538	11.307693	11.307693	11.307693	0.000000	0.000000	0.000000	0.000000	7.504707	0.000000	8.076923	8.076923	8.076923	0.000000	0.000000	0.000000	6.461538	0.000000	11.307693	9.709594	0.000000	0.000000	0.000000	0.000000	0.000000
51	0.000000	1.240385	17.117310	17.117310	5.705769	6.615385	6.615385	6.615385	11.576923	11.576923	11.576923	0.000000	0.000000	0.000000	0.000000	7.683390	0.000000	8.269231	8.269231	8.269231	0.000000	0.000000	0.000000	6.615385	0.000000	11.576923	9.940773	0.000000	0.000000	0.000000	0.000000	0.000000
52	0.000000	1.269231	17.515387	17.515387	5.838462	6.769231	6.769231	6.769231	11.846155	11.846155	11.846155	0.000000	0.000000	0.000000	0.000000	7.862073	0.000000	8.461538	8.461538	8.461538	0.000000	0.000000	0.000000	6.769231	0.000000	11.846155	10.171955	0.000000	0.000000	0.000000	0.000000	0.000000
53	0.000000	1.298077	17.913462	17.913462	5.971154	6.923077	6.923077	6.923077	12.115385	12.115385	12.115385	0.000000	0.000000	0.000000	0.000000	8.040756	0.000000	8.653846	8.653846	8.653846	0.000000	0.000000	0.000000	6.923077	0.000000	12.115385	10.403134	0.000000	0.000000	0.000000	0.000000	0.000000
54	0.000000	1.326923	18.311539	18.311539	6.103846	7.076923	7.076923	7.076923	12.384617	12.384617	12.384617	0.000000	0.000000	0.000000	0.000000	8.219440	0.000000	8.846154	8.846154	8.846154	0.000000	0.000000	0.000000	7.076923	0.000000	12.384617	10.634315	0.000000	0.000000	0.000000	0.000000	0.000000
55	0.000000	1.355769	18.709618	18.709618	6.236538	7.230769	7.230769	7.230769	12.653847	12.653847	12.653847	0.000000	0.000000	0.000000	0.000000	8.398123	0.000000	9.038462	9.038462	9.038462	0.000000	0.000000	0.000000	7.230769	0.000000	12.653847	10.865497	0.000000	0.000000	0.000000	0.000000	0.000000
56	0.000000	1.384615	19.107693	19.107693	6.369231	7.384615	7.384615	7.384615	12.923079	12.923079	12.923079	0.000000	0.000000	0.000000	0.000000	8.576807	0.000000	9.230769	9.230769	9.230769	0.000000	0.000000	0.000000	7.384615	0.000000	12.923079	11.096678	0.000000	0.000000	0.000000	0.000000	0.000000
57	0.000000	1.413461	19.505770	19.505770	6.501923	7.538462	7.538462	7.538462	13.192308	13.192308	13.192308	0.000000	0.000000	0.000000	0.000000	8.755489	0.000000	9.423077	9.423077	9.423077	0.000000	0.000000	0.000000	7.538462	0.000000	13.192308	11.327857	0.000000	0.000000	0.000000	0.000000	0.000000
58	0.000000	1.442308	19.903849	19.903849	6.634615	7.692307	7.692307	7.692307	13.461539	13.461539	13.461539	0.000000	0.000000	0.000000	0.000000	8.934174	0.000000	9.615385	9.615385	9.615385	0.000000	0.000000	0.000000	7.692307	0.000000	13.461539	11.559039	0.000000	0.000000	0.000000	0.000000	0.000000
59	0.000000	1.471154	20.301924	20.301924	6.767308	7.846154	7.846154	7.846154	13.730770	13.730770	13.730770	0.000000	0.000000	0.000000	0.000000	9.112857	0.000000	9.807692	9.807692	9.807692	0.000000	0.000000	0.000000	7.846154	0.000000	13.730770	11.790219	0.000000	0.000000	0.000000	0.000000	0.000000
60	0.000000	1.500000	20.700001	20.700001	6.900001	8.000000	8.000000	8.000000	14.000000	14.000000	14.000000	0.000000	0.000000	0.000000	0.000000	9.291540	0.000000	10.000000	10.000000	10.000000	0.000000	0.000000	0.000000	8.000000	0.929154	14.000000	12.021399	0.000000	0.000000	0.000000	0.000000	0.000000
61	0.000000	1.556962	21.486076	21.486076	7.162025	8.303798	8.303798	8.303798	14.531647	14.531647	14.531647	0.000000	0.000000	0.000000	0.000000	9.644384	0.000000	10.379747	10.379747	10.379747	0.000000	0.000000	0.000000	8.303798	0.000000	14.531647	12.477909	0.000000	0.000000	0.000000	0.000000	0.000000
62	0.000000	1.618421	22.334213	22.334213	7.444737	8.631579	8.631579	8.631579	15.105265	15.105265	15.105265	0.000000	0.000000	0.000000	0.000000	10.025084	0.000000	10.789474	10.789474	10.789474	0.000000	0.000000	0.000000	8.631579	0.000000	15.105265	12.970459	0.000000	0.000000	0.000000	0.000000	0.000000
63	0.000000	1.684931	23.252056	23.252056	7.750685	8.986301	8.986301	8.986301	15.726029	15.726029	15.726029	0.000000	0.000000	0.000000	0.000000	10.437073	0.000000	11.232877	11.232877	11.232877	0.000000	0.000000	0.000000	8.986301	0.000000	15.726029	13.503490	0.000000	0.000000	0.000000	0.000000	0.000000
64	0.000000	1.757143	24.248571	24.248571	8.082857	9.371427	9.371427	9.371427	16.400000	16.400000	16.400000	0.000000	0.000000	0.000000	0.000000	10.884377	0.000000	11.714287	11.714287	11.714287	0.000000	0.000000	0.000000	9.371427	0.000000	16.400000	14.082212	0.000000	0.000000	0.000000	0.000000	0.000000
65	0.000000	1.835821	25.334330	25.334330	8.444776	9.791045	9.791045	9.791045	17.134329	17.134329	17.134329	0.000000	0.000000	0.000000	0.000000	11.371737	0.000000	12.238807	12.238807	12.238807	0.000000	0.000000	0.000000	9.791045	0.000000	17.134329	14.712759	0.000000	0.000000	0.000000	0.000000	0.000000
66	0.000000	1.921875	26.521877	26.521877	8.840626	10.250000	10.250000	10.250000	17.937500	17.937500	17.937500	0.000000	0.000000	0.000000	0.000000	11.904787	0.000000	12.812500	12.812500	12.812500	0.000000	0.000000	0.000000	10.250000	0.000000	17.937500	15.402420	0.000000	0.000000	0.000000	0.000000	0.000000
67	0.000000	2.016393	27.826231	27.826231	9.275410	10.754099	10.754099	10.754099	18.819674	18.819674	18.819674	0.000000	0.000000	0.000000	0.000000	12.490268	0.000000	13.442624	13.442624	13.442624	0.000000	0.000000	0.000000	10.754099	0.000000	18.819674	16.159916	0.000000	0.000000	0.000000	0.000000	0.000000
68	0.000000	2.120690	29.265518	29.265518	9.755172	11.310346	11.310346	11.310346	19.793104	19.793104	19.793104	0.000000	0.000000	0.000000	0.000000	13.136316	0.000000	14.137931	14.137931	14.137931	0.000000	0.000000	0.000000	11.310346	0.000000	19.793104	16.995773	0.000000	0.000000	0.000000	0.000000	0.000000
69	0.000000	2.236364	30.861820	30.861820	10.287273	11.927274	11.927274	11.927274	20.872728	20.872728	20.872728	0.000000	0.000000	0.000000	0.000000	13.852843	0.000000	14.909091	14.909091	14.909091	0.000000	0.000000	0.000000	11.927274	0.000000	20.872728	17.922815	0.000000	0.000000	0.000000	0.000000	0.000000
70	0.000000	2.365385	32.642307	32.642307	10.880770	12.615385	12.615385	12.615385	22.076923	22.076923	22.076923	0.000000	0.000000	0.000000	0.000000	14.652046	0.000000	15.769233	15.769233	15.769233	0.000000	0.000000	0.000000	12.615385	0.000000	22.076923	18.956825	0.000000	0.000000	0.000000	0.000000	0.000000
71	0.000000	2.545041	35.121571	35.121571	11.707191	13.573555	13.573555	13.573555	23.753721	23.753721	23.753721	0.000000	0.000000	0.000000	0.000000	15.764904	0.000000	16.966942	16.966942	16.966942	0.000000	0.000000	0.000000	13.573555	0.000000	23.753721	20.396641	0.000000	0.000000	0.000000	0.000000	0.000000
72	0.000000	2.738343	37.789139	37.789139	12.596380	14.604500	14.604500	14.604500	25.557875	25.557875	25.557875	0.000000	0.000000	0.000000	0.000000	16.962286	0.000000	18.255625	18.255625	18.255625	0.000000	0.000000	0.000000	14.604500	0.000000	25.557875	21.945816	0.000000	0.000000	0.000000	0.000000	0.000000
73	0.000000	2.946327	40.659321	40.659321	13.553107	15.713748	15.713748	15.713748	27.499056	27.499056	27.499056	0.000000	0.000000	0.000000	0.000000	18.250612	0.000000	19.642183	19.642183	19.642183	0.000000	0.000000	0.000000	15.713748	0.000000	27.499056	23.612654	0.000000	0.000000	0.000000	0.000000	0.000000
74	0.000000	3.170108	43.747494	43.747494	14.582498	16.907244	16.907244	16.907244	29.587677	29.587677	29.587677	0.000000	0.000000	0.000000	0.000000	19.636793	0.000000	21.134054	21.134054	21.134054	0.000000	0.000000	0.000000	16.907244	0.000000	29.587677	25.406094	0.000000	0.000000	0.000000	0.000000	0.000000
75	0.000000	3.410886	47.070221	47.070221	15.690074	18.191391	18.191391	18.191391	31.834934	31.834934	31.834934	0.000000	0.000000	0.000000	0.000000	21.128254	0.000000	22.739237	22.739237	22.739237	0.000000	0.000000	0.000000	18.191391	0.000000	31.834934	27.335745	0.000000	0.000000	0.000000	0.000000	0.000000
76	0.000000	3.669950	50.645321	50.645321	16.881773	19.573071	19.573071	19.573071	34.252872	34.252872	34.252872	0.000000	0.000000	0.000000	0.000000	22.732996	0.000000	24.466339	24.466339	24.466339	0.000000	0.000000	0.000000	19.573071	0.000000	34.252872	29.411963	0.000000	0.000000	0.000000	0.000000	0.000000
77	0.000000	3.948692	54.491959	54.491959	18.163986	21.059694	21.059694	21.059694	36.854465	36.854465	36.854465	0.000000	0.000000	0.000000	0.000000	24.459623	0.000000	26.324617	26.324617	26.324617	0.000000	0.000000	0.000000	21.059694	0.000000	36.854465	31.645874	0.000000	0.000000	0.000000	0.000000	0.000000
78	0.000000	4.248605	58.630756	58.630756	19.543585	22.659227	22.659227	22.659227	39.653648	39.653648	39.653648	0.000000	0.000000	0.000000	0.000000	26.317390	0.000000	28.324036	28.324036	28.324036	0.000000	0.000000	0.000000	22.659227	0.000000	39.653648	34.049454	0.000000	0.000000	0.000000	0.000000	0.000000
79	0.000000	4.571297	63.083904	63.083904	21.027967	24.380253	24.380253	24.380253	42.665440	42.665440	42.665440	0.000000	0.000000	0.000000	0.000000	28.316261	0.000000	30.475315	30.475315	30.475315	0.000000	0.000000	0.000000	24.380253	0.000000	42.665440	36.635593	0.000000	0.000000	0.000000	0.000000	0.000000
80	0.000000	4.918498	67.875282	67.875282	22.625093	26.231993	26.231993	26.231993	45.905987	45.905987	45.905987	0.000000	0.000000	0.000000	0.000000	30.466951	0.000000	32.789989	32.789989	32.789989	0.000000	0.000000	0.000000	26.231993	0.000000	45.905987	39.418159	0.000000	0.000000	0.000000	0.000000	0.000000
81	0.000000	6.458402	89.125954	89.125954	29.708651	34.444813	34.444813	34.444813	60.278423	60.278423	60.278423	0.000000	0.000000	0.000000	0.000000	38.029308	0.000000	43.056015	43.056015	43.056015	0.000000	0.000000	0.000000	34.444813	0.000000	60.278423	49.202339	0.000000	0.000000	0.000000	0.000000	0.000000
82	0.000000	8.480962	117.037280	117.037280	39.012428	45.231800	45.231800	45.231800	79.155647	79.155647	79.155647	0.000000	0.000000	0.000000	0.000000	47.468758	0.000000	56.539749	56.539749	56.539749	0.000000	0.000000	0.000000	45.231800	0.000000	79.155647	61.415104	0.000000	0.000000	0.000000	0.000000	0.000000
83	0.000000	11.141317	153.750200	153.750200	51.250065	59.420368	59.420368	59.420368	103.985640	103.985640	103.985640	0.000000	0.000000	0.000000	0.000000	59.251217	0.000000	74.275452	74.275452	74.275452	0.000000	0.000000	0.000000	59.420368	0.000000	103.985640	76.659256	0.000000	0.000000	0.000000	0.000000	0.000000
84	0.000000	14.629084	201.881380	201.881380	67.293793	78.021790	78.021790	78.021790	136.538130	136.538130	136.538130	0.000000	0.000000	0.000000	0.000000	73.958267	0.000000	97.527237	97.527237	97.527237	0.000000	0.000000	0.000000	78.021790	0.000000	136.538130	95.687241	0.000000	0.000000	0.000000	0.000000	0.000000
