Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid	Unknown	Unknown	Unknown	Unknown	Unknown	Unknown
30	119.576550	67.817123	58.876217	128.774750	49.355644	119.576550	53.969101	67.669823	65.906990	54.182190	54.182190	20.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
31	128.323440	70.275772	63.005783	133.147630	52.143978	128.323440	55.376572	71.359879	68.958916	56.527206	56.527206	20.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
32	137.512820	72.727112	67.329056	137.512820	55.028683	137.512820	56.719345	75.166130	72.068405	58.905834	58.905834	21.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
33	147.156100	75.166229	71.849945	141.862720	58.010242	147.156100	57.990757	79.088448	75.232979	61.315624	61.315624	21.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
34	157.264690	77.588196	76.572304	146.189710	61.089149	157.264690	59.184143	83.126686	78.450180	63.754120	63.754120	22.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
35	167.850010	79.988113	81.499931	150.486210	64.265877	167.850010	60.292850	87.280716	81.717560	66.218880	66.218880	23.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
36	178.923450	82.361061	86.636574	154.744600	67.540924	178.923450	61.310238	91.550385	85.032661	68.707451	68.707451	23.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
37	190.496430	84.702133	91.985924	158.957290	70.914749	190.496430	62.229660	95.935555	88.393021	71.217392	71.217392	24.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
38	202.580350	87.006432	97.551613	163.116650	74.387840	202.580350	63.044483	100.436070	91.796196	73.746262	73.746262	24.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
39	215.186630	89.269051	103.337230	167.215090	77.960678	215.186630	63.748077	105.051800	95.239738	76.291611	76.291611	25.000000	2300.000000	5.000000	6.000000	8.000000	10.000000
40	228.326660	91.485092	109.346310	171.245000	81.633720	228.326660	64.333817	109.782570	98.721191	78.851013	78.851013	26.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
41	237.557660	94.516792	116.451360	182.127530	84.826447	235.578000	66.682327	113.099870	101.445560	81.422028	81.422028	26.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
42	246.991460	97.564629	123.888630	193.476640	88.070351	242.874940	69.059021	116.399640	104.135120	84.002213	84.002213	27.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
43	256.628080	100.626140	131.667530	205.302460	91.364174	250.212370	71.462669	119.677140	106.785070	86.589142	86.589142	27.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
44	266.467500	103.698830	139.797620	217.615110	94.706650	257.585240	73.892021	122.927640	109.390670	89.180389	89.180389	28.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
45	276.509740	106.780260	148.288540	230.424770	98.096535	264.988490	76.345833	126.146400	111.947170	91.773514	91.773514	28.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
46	286.754760	109.867940	157.150070	243.741550	101.532550	272.417020	78.822861	129.328700	114.449790	94.366096	94.366096	29.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
47	297.202610	112.959410	166.392070	257.575590	105.013450	279.865780	81.321877	132.469860	116.893810	96.955711	96.955711	30.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
48	307.853240	116.052210	176.024520	271.937040	108.537980	287.329710	83.841629	135.565140	119.274500	99.539940	99.539940	30.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
49	318.706730	119.143880	186.057480	286.836030	112.104870	294.803710	86.380882	138.609850	121.587110	102.116360	102.116360	31.000000	3300.000000	5.000000	6.000000	8.000000	10.000000
50	329.762970	122.231930	196.501170	302.282750	115.712880	302.282750	88.938400	141.599290	123.826930	104.682560	104.682560	31.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
51	341.022060	125.313940	207.365880	318.287260	119.360730	309.761690	91.512939	144.528780	125.989220	107.236110	107.236110	32.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
52	352.483950	128.387420	218.662000	334.859740	123.047200	317.235530	94.103264	147.393650	128.069290	109.774610	109.774610	33.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
53	364.148620	131.449940	230.400070	352.010350	126.771000	324.699190	96.708138	150.189220	130.062440	112.295650	112.295650	33.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
54	376.016140	134.499010	242.590700	369.749210	130.530900	332.147580	99.326332	152.910830	131.963940	114.796820	114.796820	34.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
55	388.086430	137.532200	255.244610	388.086430	134.325640	339.575620	101.956600	155.553820	133.769130	117.275720	117.275720	34.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
56	400.359560	140.547060	268.372680	407.032230	138.153980	346.978270	104.597720	158.113560	135.473310	119.729940	119.729940	35.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
57	412.835480	143.541120	281.985780	426.596650	142.014650	354.350460	107.248450	160.585390	137.071810	122.157080	122.157080	36.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
58	425.514220	293.023900	296.095060	446.789920	291.812810	361.687070	219.815110	325.929380	277.119930	249.109500	249.109500	46.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
59	478.257230	327.008330	338.963290	510.141020	328.420500	402.533170	246.449970	362.339480	306.629360	277.898220	277.898220	47.000000	4400.000000	5.000000	6.000000	8.000000	10.000000
60	491.949980	332.962490	355.055050	532.945800	336.625000	409.958310	251.970830	366.620820	308.962490	282.633330	282.633330	49.000000	8800.000000	5.000000	6.000000	8.000000	10.000000
61	512.168640	354.074650	376.741820	552.214720	355.277370	432.076420	274.168460	384.399380	328.700350	303.649840	303.649840	51.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
62	532.942570	375.984920	399.409090	571.938350	374.584780	454.950960	297.330540	402.742860	349.191560	325.524840	325.524840	53.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
63	554.279360	398.707460	423.086090	592.121700	394.558070	478.594600	321.475560	421.659850	370.449430	348.274230	348.274230	54.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
64	576.186650	422.256350	447.802460	612.769900	415.208100	503.020050	346.622010	441.158840	392.487210	371.913880	371.913880	55.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
65	598.672000	446.645690	473.588320	633.887940	436.545590	528.239990	372.788390	461.248320	415.318210	396.459660	396.459660	57.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
66	621.742980	471.889560	500.474150	655.481020	458.581300	554.267030	399.993070	481.936710	438.955540	421.927340	421.927340	58.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
67	645.407350	498.001980	528.490910	677.554080	481.325930	581.113890	428.254460	503.232390	463.412410	448.332640	448.332640	59.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
68	669.672610	524.997010	557.670040	700.112240	504.790160	608.793270	457.590910	525.143800	488.701970	475.691380	475.691380	84.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
69	694.546330	552.888610	588.043270	723.160580	528.984620	637.317810	488.020780	547.679320	514.837280	504.019230	504.019230	87.000000	8800.000000	6.000000	8.000000	10.000000	10.000000
70	720.036190	581.690800	619.642940	746.704160	553.919920	666.700130	519.562320	570.847170	541.831420	533.331790	533.331790	90.000000	18000.000000	6.000000	8.000000	10.000000	10.000000
71	746.149720	611.417600	652.501650	770.748110	579.606690	696.953060	552.233830	594.655700	569.697390	563.644840	563.644840	93.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
72	772.894590	642.082890	686.652590	795.297360	606.055360	728.089110	586.053470	619.113220	598.448240	594.973820	594.973820	97.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
73	800.278440	673.700620	722.129210	820.357120	633.276550	760.121090	621.039490	644.227910	628.096860	627.334350	627.334350	101.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
74	828.308780	706.284670	758.965520	845.932370	661.280640	793.061580	657.210020	670.008000	658.656190	660.741940	660.741940	104.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
75	856.993290	739.849000	797.195920	872.028200	690.078060	826.923340	694.583250	696.461670	690.139040	695.212100	695.212100	108.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
76	886.339480	774.407350	836.855290	898.649720	719.679260	861.718930	733.177120	723.597050	722.558410	730.760250	730.760250	113.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
77	916.355040	809.973690	877.978880	925.802000	750.094540	897.461120	773.009830	751.422240	755.926940	767.401790	767.401790	117.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
78	947.047550	846.561770	920.602360	953.490050	781.334290	934.162600	814.099240	779.945310	790.257450	805.152160	805.152160	121.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
79	978.424620	884.185360	964.761840	981.718990	813.408690	971.835940	856.463440	809.174320	825.562620	844.026610	844.026610	126.000000	18000.000000	12.000000	16.000000	20.000000	20.000000
80	1010.493900	922.858280	1010.493900	1010.493900	846.328060	1010.493900	900.120300	839.117250	861.855220	884.040470	884.040470	131.000000	100000.000000	12.000000	16.000000	20.000000	20.000000
81	1032.933600	943.719850	1032.933600	1032.933600	865.674680	1032.933600	920.540040	858.337590	881.517460	904.112980	904.112980	308.000000	100000.000000	30.000000	40.000000	50.000000	50.000000
82	1055.626700	964.814390	1055.626700	1055.626700	885.234560	1055.626700	941.186950	877.769590	901.397030	924.408260	924.408260	368.000000	100000.000000	30.000000	40.000000	50.000000	50.000000
83	1078.573500	986.141720	1078.573500	1078.573500	905.007260	1078.573500	962.060850	897.412720	921.493590	944.925840	944.925840	435.000000	100000.000000	30.000000	40.000000	50.000000	50.000000
84	1101.773700	1007.701500	1101.773700	1101.773700	924.992190	1101.773700	983.161250	917.266420	941.806640	965.665410	965.665410	473.000000	100000.000000	30.000000	40.000000	50.000000	50.000000
85	1125.227400	1029.493400	1125.227400	1125.227400	945.188840	1125.227400	1004.487900	937.330080	962.335630	986.626400	986.626400	509.000000	300000.000000	30.000000	40.000000	50.000000	50.000000
86	1148.934600	1051.517200	1148.934600	1148.934600	965.596620	1148.934600	1026.040400	957.603210	983.080080	1007.808600	1007.808600	819.000000	300000.000000	120.000000	160.000000	200.000000	200.000000
87	1172.895400	1073.772700	1172.895400	1172.895400	986.215030	1172.895400	1047.818400	978.085210	1004.039600	1029.211400	1029.211400	987.000000	300000.000000	120.000000	160.000000	200.000000	200.000000
88	1197.109600	1096.259500	1197.109600	1197.109600	1007.043500	1197.109600	1069.821500	998.775510	1025.213500	1050.834500	1050.834500	1189.000000	300000.000000	120.000000	160.000000	200.000000	200.000000
89	1221.577300	1118.977400	1221.577300	1221.577300	1028.081500	1221.577300	1092.049400	1019.673500	1046.601400	1072.677500	1072.677500	1433.000000	300000.000000	120.000000	160.000000	200.000000	200.000000
90	1246.298600	1141.926000	1246.298600	1246.298600	1049.328400	1246.298600	1114.501700	1040.778600	1068.202900	1094.739700	1094.739700	1710.000000	800000.000000	120.000000	160.000000	200.000000	200.000000
91	1271.273300	1165.105100	1271.273300	1271.273300	1070.783600	1271.273300	1137.178000	1062.090200	1090.017200	1117.021000	1117.021000	3847.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
92	1296.501700	1188.514400	1296.501700	1296.501700	1092.446700	1296.501700	1160.078000	1083.607700	1112.044100	1139.520800	1139.520800	4262.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
93	1321.983400	1212.153600	1321.983400	1321.983400	1114.316800	1321.983400	1183.201200	1105.330300	1134.282700	1162.238500	1162.238500	4722.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
94	1347.718800	1236.022200	1347.718800	1347.718800	1136.393600	1347.718800	1206.547100	1127.257800	1156.732800	1185.174000	1185.174000	5135.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
95	1373.707500	1260.120100	1373.707500	1373.707500	1158.676100	1373.707500	1230.115600	1149.389200	1179.393700	1208.326400	1208.326400	5584.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
96	1399.949800	1284.447000	1399.949800	1399.949800	1181.164200	1399.949800	1253.906100	1171.723900	1202.264800	1231.695600	1231.695600	13659.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
97	1426.445700	1309.002400	1426.445700	1426.445700	1203.856800	1426.445700	1277.918300	1194.261400	1225.345500	1255.280800	1255.280800	15134.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
98	1453.195100	1333.786100	1453.195100	1453.195100	1226.753700	1453.195100	1302.151600	1217.000900	1248.635400	1279.081700	1279.081700	16767.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
99	1480.197900	1358.797900	1480.197900	1480.197900	1249.853800	1480.197900	1326.605800	1239.941800	1272.133800	1303.097800	1303.097800	18234.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
100	1507.454300	1384.037200	1507.454300	1507.454300	1273.156700	1507.454300	1351.280400	1263.083400	1295.840200	1327.328600	1327.328600	19829.000000	800000.000000	480.000000	600.000000	720.000000	720.000000
